,artist,song,explicit,album,popularity
0,Penelope Scott,Rät,True,Public Void,80
1,CORPSE,Never Satisfied,True,Never Satisfied,68
2,CORPSE,Miss YOU!,True,Miss YOU!,72
3,CORPSE,E-GIRLS ARE RUINING MY LIFE!,True,E-GIRLS ARE RUINING MY LIFE!,79
4,MOTHICA,forever fifteen,False,forever fifteen,63
