,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
0,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,Bored,spotify:track:04sN26COy28wTXYj3dMoiZ,180933,False,Bored,88
1,Rush,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Tom Sawyer,spotify:track:3QZ7uX97s82HFYSmQUAN1D,276880,False,Moving Pictures (2011 Remaster),74
2,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Him & I (with Halsey),spotify:track:5k38wzpLb15YgncyWdTZE4,268866,True,The Beautiful & Damned,80
3,Ashnikko,spotify:artist:3PyJHH2wyfQK3WZrk9rpmP,Panic Attacks in Paradise,spotify:track:13gqe2AjtaPexcBoqA10IX,184885,False,Panic Attacks in Paradise / Maggots,69
4,Dream Theater,spotify:artist:2aaLAng2L2aWD2FClzwiep,Panic Attack,spotify:track:5axwj3ekvw85989jjO8Ov8,493026,False,Octavarium,60
